id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
1006;Colônia dos Alves;Correia Pinto;Proto_Je;SC;-50.53113363;-27.54644492
1007;Agroflorestal;Correia Pinto;Proto_Je;SC;-50.52707378;-27.54607006
1008;Armildo Befart;Correia Pinto;Proto_Je;SC;-50.3038925;-27.55359027
1009;Sitio Dirceu;Curitibanos;Proto_Je;SC;-50.54554958;-27.47170672
1010;Gaboardi II;Curitibanos;Proto_Je;SC;-50.54236341;-27.32874831
1011;Gaboardi I;Curitibanos;Proto_Je;SC;-50.54052174;-27.31940731
1012;Doutor Pedrinho I;Doutor Pedrinho;Proto_Je;SC;-49.52103352;-26.65259318
1013;Aldeia Fulvio Aducci;Florianópolis;Proto_Je;SC;-48.57249839;-27.59164445
1014;Parque Rene Frey II;Fraiburgo;Proto_Je;SC;-50.92297543;-27.01491003
1015;Parque Rene Frey I;Fraiburgo;Proto_Je;SC;-50.92054453;-27.01707554
1016;S.A. Serrinha;Ipumirim;Proto_Je;SC;-52.10812158;-27.09703729
1017;Armando Vortmann;ItaÂ ;Proto_Je;SC;-52.39771919;-27.25001407
1018;Estrada do Oeste 03;Joinville;Proto_Je;SC;-48.89727512;-26.1856166
1019;Estrada do oeste 04;Joinville;Proto_Je;SC;-48.89688182;-26.18969055
1020;Estrada do oeste 02;Joinville;Proto_Je;SC;-48.89646952;-26.18758149
1021;Estrada do oeste 01;Joinville;Proto_Je;SC;-48.89464609;-26.19162548
1022;Fazenda Pai Querê IV;Lages;Proto_Je;SC;-50.59706468;-28.34172458
1023;Fazenda Santa Rosa II;Lages;Proto_Je;SC;-50.59209725;-28.36006111
1024;Fazenda Santa Rosa I;Lages;Proto_Je;SC;-50.58966081;-28.36207578
1025;Fazenda Guarda-Mor;Lages;Proto_Je;SC;-50.52247632;-28.34986965
1026;Fazenda Sobradinho II;Lages;Proto_Je;SC;-50.52177687;-28.3738871
1027;SC-CL-31;Lages;Proto_Je;SC;-50.51574343;-27.93998896
1028;Fazenda Sobradinho I;Lages;Proto_Je;SC;-50.507798;-28.35993634
1029;Adair da Silva Branco II;Lages;Proto_Je;SC;-50.50295322;-28.40321036
1030;Fazenda Santa Vitória I;Lages;Proto_Je;SC;-50.46540557;-28.38496091
1031;Fazenda Cadete;Lages;Proto_Je;SC;-50.4501354;-28.36926613
1032;Praia de Seixos do Cachoeirao I;Lages;Proto_Je;SC;-50.40680317;-28.39868244
1033;Bom Jardim;Lages;Proto_Je;SC;-50.35986683;-27.93150799
1034;Fazenda Pinheirinho;Lages;Proto_Je;SC;-50.35587469;-28.3328195
1035;Passo Fundo I;Lages;Proto_Je;SC;-50.32256815;-27.79224872
1036;L. Beatriz Araújo Broering;Lages;Proto_Je;SC;-50.28268235;-27.88848397
1037;SC-CL-33;Lages;Proto_Je;SC;-50.22534136;-27.6879615
1038;SC-CL-28 II;Lages;Proto_Je;SC;-50.22302683;-27.68686527
1039;SC-CL-30;Lages;Proto_Je;SC;-50.20737741;-27.68573847
1040;SC-CL-29;Lages;Proto_Je;SC;-50.20423691;-27.683906
1041;Adilson Rafaeli II;Lages;Proto_Je;SC;-50.20401006;-27.66204075
1042;Adilson Rafaeli I;Lages;Proto_Je;SC;-50.19891577;-27.66963941
1043;SC-CL-28 I;Lages;Proto_Je;SC;-50.19273104;-27.72198826
1044;SC-CL-26 II;Lages;Proto_Je;SC;-50.19236494;-27.71935923
1045;SC - CL- 23;Lages;Proto_Je;SC;-50.17667178;-27.67889731
1046;SC-CL-25;Lages;Proto_Je;SC;-50.1621363;-27.81474894
1047;Fortim do Atalaia;Laguna;Proto_Je;SC;-48.759081;-28.500069
1048;Iraci Idalino Nunes;Painel;Proto_Je;SC;-50.10751463;-28.12341985
1049;Guarda do Embaú I;Palhoça;Proto_Je;SC;-48.58646118;-27.90398862
1050;SC-CL-36;Palmeira;Proto_Je;SC;-50.15020761;-27.6223176
1051;SC-CL-35;Palmeira;Proto_Je;SC;-50.14990312;-27.62368788
